Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Master,58,303,3.39,6.8,4.2,7.6,208.9,18236,12124,363
Master,60,154,2.83,7.6,5.1,6.8,152.4,17818,10658,139
Master,60,163,3.02,9.4,4.9,5.5,185.8,22503,12564,256
Master,52,117,3.74,1.5,3.9,13.0,16.2,5142,7278,7
Master,62,107,2.46,9.6,7.1,7.8,187.1,21671,13186,108
Master,61,28,3.72,8.8,4.4,7.4,146.3,20956,11176,22
Master,56,142,3.02,6.3,4.8,8.3,171.9,20072,10960,71
Master,54,524,3.53,8.5,4.1,6.0,173.0,18113,11866,564
Master,63,146,2.46,10.2,6.7,6.3,166.2,23983,12742,152
Unranked,57,674,4.33,2.5,3.9,14.4,54.9,9263,7952,50
Master,62,177,2.76,6.3,4.8,6.8,203.1,23683,11839,154
Master,56,34,2.02,6.6,5.9,5.3,164.2,19213,10976,16
Master,59,181,2.19,6.3,5.4,5.6,198.0,16727,12007,105
Master,53,416,2.55,6.0,4.8,6.1,205.2,14326,11708,331
Master,60,169,3.26,2.2,4.9,13.6,20.6,8514,7494,13
Master,66,32,3.82,1.9,4.9,16.8,28.9,6705,7329,2
Master,57,227,2.71,7.3,5.0,6.2,210.0,23646,12494,233
Master,56,18,1.66,5.4,6.4,5.2,162.3,15694,10735,10
Master,70,37,2.83,7.8,4.7,5.5,164.9,16035,10690,59
Master,55,698,2.34,8.7,6.1,5.6,171.3,21707,11980,560
Master,57,60,3.28,10.1,5.1,6.7,161.2,19585,12337,68
Master,60,138,4.69,1.8,3.9,16.5,6.2,8757,7628,10
Master,59,342,2.46,6.7,4.4,4.1,178.4,17842,11548,270
Master,55,226,2.14,5.9,6.0,7.0,156.8,18956,10271,140
Master,58,19,3.21,2.4,5.2,14.3,30.6,6301,7459,2
Challenger,56,97,3.53,8.0,4.4,7.5,164.0,18649,11391,101
Challenger,71,62,3.94,7.3,4.1,9.0,138.8,15469,11125,39
Challenger,52,138,3.31,8.0,4.6,7.1,151.9,17470,11338,197
Challenger,58,404,2.86,7.3,4.8,6.3,160.4,18436,11007,336
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,57,718,2.65,7.8,5.5,6.8,144.2,15616,10892,393
Challenger,57,190,2.87,5.5,3.8,5.3,193.7,15170,11154,101
Challenger,59,147,2.68,6.0,4.7,6.6,176.2,17342,10935,78
Challenger,50,48,2.76,11.4,6.3,6.0,170.4,23546,12770,55
Challenger,51,65,3.07,8.6,4.7,6.0,202.3,19306,12446,111
Challenger,71,31,3.9,8.8,4.4,8.2,144.8,16834,11696,30
Challenger,55,145,3.2,7.4,4.3,6.5,212.2,19935,12539,146
Challenger,53,136,4.32,7.5,3.6,8.1,160.1,15582,11485,121
Challenger,61,319,2.41,8.3,7.5,9.8,201.0,29239,12401,362
Challenger,52,2047,3.96,1.4,3.7,13.4,34.2,4812,6983,96
Challenger,61,215,2.41,7.5,5.5,5.7,216.8,20748,12609,226
Challenger,56,97,3.53,8.0,4.4,7.5,164.0,18649,11391,101
Challenger,49,424,1.76,5.7,5.9,4.8,180.5,17668,11079,297
Challenger,65,293,3.78,4.2,3.9,10.6,134.4,12079,9092,61
Challenger,59,400,2.05,5.9,6.2,6.7,147.1,18824,10413,179
Master,57,21,2.18,8.5,7.0,6.9,237.7,21018,13898,27
Challenger,53,192,3.29,6.2,4.0,7.0,178.8,19640,10886,110
Challenger,57,190,2.87,5.5,3.8,5.3,193.7,15170,11154,101
Challenger,50,48,2.76,11.4,6.3,6.0,170.4,23546,12770,55
Challenger,61,344,2.98,4.8,5.4,11.2,136.7,15290,9574,123
Challenger,56,154,4.41,7.1,3.8,9.4,142.1,15414,10687,107
Challenger,59,496,5.02,2.0,3.4,15.1,26.0,8074,8020,31
Challenger,60,402,3.12,8.1,4.5,5.9,185.1,19247,11607,471
Challenger,57,157,3.51,8.7,4.4,6.7,165.0,17607,11728,245
